website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size
http://www.novayagazeta.ru/,daf5165b-bb6e-4301-817b-2f3da87c9be0,2025-05-06 13:00:22,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
http://www.novayagazeta.ru/,6313fb0e-3aa9-4879-86e9-be37c9bd7248,2025-05-06 13:41:54,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0
http://www.novayagazeta.ru/,1e148ced-69a4-47b7-9e70-f73329535afa,2025-05-06 14:23:48,"{'eth': 52, 'ip': 52, 'tcp': 52, 'tls': 26}",52,"[74, 74, 66, 583, 66, 2910, 66, 146, 152, 157, 66, 635, 66, 97, 66, 229, 259, 97, 97, 78, 74, 74, 66, 583, 66, 2911, 66, 146, 152, 153, 66, 635, 66, 97, 66, 369, 1457, 1457, 1457, 1457, 1457, 1457, 2033, 97, 97, 78, 66, 66, 66, 66, 66, 66]",23017,66,2911,442.63461538461536,52,"[74, 74, 66, 583, 66, 2910, 66, 146, 152, 157, 66, 635, 66, 97, 66, 229, 259, 97, 97, 78, 74, 74, 66, 583, 66, 2911, 66, 146, 152, 153, 66, 635, 66, 97, 66, 369, 1457, 1457, 1457, 1457, 1457, 1457, 2033, 97, 97, 78, 66, 66, 66, 66, 66, 66]",23017,66,2911,442.63461538461536,52,2,0,0,3.8461538461538463,1.1278e-05,0.126589044,0.011392238190476191,0,0,[],0,0,0,0,52,"[74, 74, 66, 583, 66, 2910, 66, 146, 152, 157, 66, 635, 66, 97, 66, 229, 259, 97, 97, 78, 74, 74, 66, 583, 66, 2911, 66, 146, 152, 153, 66, 635, 66, 97, 66, 369, 1457, 1457, 1457, 1457, 1457, 1457, 2033, 97, 97, 78, 66, 66, 66, 66, 66, 66]",23017,66,2911,442.63461538461536,52,0,0.0,0,{},{},0,0,0,0,0,0
