website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size,param_frag_size,param_tcp_frag,param_record_frag
https://twitter.com/PusatRakyatLB/,70f70be3-8f68-41ee-9a94-c50532893252,2025-04-10 12:21:16,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,5,True,False
https://twitter.com/PusatRakyatLB/,a53d2521-b812-4793-9592-5f3708034407,2025-04-10 12:21:36,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,5,True,False
https://twitter.com/PusatRakyatLB/,ececfc79-5533-48f3-b333-d3f83cc67ea7,2025-04-10 12:21:56,"{'eth': 373, 'ip': 237, 'udp': 265, 'mdns': 101, 'ipv6': 72, 'arp': 64, 'dhcp': 18, 'icmpv6': 8, 'tcp': 36, 'tls': 11, 'dns': 73, 'DATA': 19, 'ssdp': 14, 'quic': 41}",373,"[232, 171, 911, 289, 975, 264, 308, 975, 264, 265, 441, 344, 344, 344, 265, 1262, 441, 1262, 265, 1262, 441, 1420, 441, 355, 1153, 355, 1153, 231, 461, 1266, 1370, 461, 285, 461, 364, 364, 364, 285, 1282, 461, 1282, 285, 1282, 461, 1440, 461, 42, 42, 42, 342, 42, 42, 42, 42, 42, 42, 342, 342, 42, 342, 42, 42, 42, 42, 42, 42, 342, 42, 42, 42, 42, 42, 42, 342, 42, 42, 42, 42, 42, 42, 342, 342, 342, 42, 342, 42, 42, 42, 42, 42, 42, 342, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 342, 42, 42, 42, 42, 42, 42, 342, 42, 42, 42, 42, 42, 42, 342, 42, 42, 42, 42, 42, 70, 70, 70, 98, 104, 136, 136, 136, 136, 93, 93, 93, 71, 71, 71, 71, 71, 71, 110, 71, 71, 71, 71, 71, 71, 109, 134, 134, 134, 134, 134, 134, 134, 134, 134, 1292, 1292, 1292, 1292, 901, 901, 901, 901, 901, 901, 901, 901, 901, 167, 100, 100, 83, 83, 87, 107, 150, 714, 150, 216, 155, 1354, 294, 1354, 1354, 1354, 1354, 1354, 73, 73, 73, 96, 96, 96, 90, 90, 90, 78, 78, 78, 75, 75, 75, 74, 74, 74, 95, 95, 95, 74, 74, 74, 103, 103, 103, 86, 86, 86, 78, 78, 78, 75, 75, 75, 100, 100, 83, 83, 93, 93, 73, 73, 96, 96, 90, 90, 78, 78, 75, 75, 74, 74, 95, 95, 74, 74, 103, 103, 86, 86, 78, 78, 75, 75, 1292, 1292, 121, 1292, 1292, 1292, 1292, 1292, 123, 579, 294, 292, 292, 332, 289, 1292, 1292, 1292, 1292, 1292, 1292, 121, 902, 157, 1292, 1292, 1292, 1292, 1292, 1292, 124, 1288, 1292, 1292, 333, 131, 834, 1292, 1292, 1292, 1292, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 231, 427, 110, 86, 90, 342, 62, 231, 427, 342, 107, 342, 342, 348, 348, 348, 231, 90, 427, 1266, 107, 1266]",121673,42,1440,326.20107238605897,36,"[98, 104, 136, 136, 136, 136, 134, 134, 134, 134, 134, 134, 134, 134, 134, 901, 901, 901, 901, 901, 901, 901, 901, 901, 150, 714, 150, 216, 155, 1354, 294, 1354, 1354, 1354, 1354, 1354]",19864,98,1354,551.7777777777778,36,24,0,0,66.66666666666666,0,0,0,265,265,"[232, 171, 911, 289, 975, 264, 308, 975, 264, 265, 441, 344, 344, 344, 265, 1262, 441, 1262, 265, 1262, 441, 1420, 441, 355, 1153, 355, 1153, 231, 461, 1266, 1370, 461, 285, 461, 364, 364, 364, 285, 1282, 461, 1282, 285, 1282, 461, 1440, 461, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 93, 93, 93, 71, 71, 71, 71, 71, 71, 110, 71, 71, 71, 71, 71, 71, 109, 1292, 1292, 1292, 1292, 167, 100, 100, 83, 83, 87, 107, 73, 73, 73, 96, 96, 96, 90, 90, 90, 78, 78, 78, 75, 75, 75, 74, 74, 74, 95, 95, 95, 74, 74, 74, 103, 103, 103, 86, 86, 86, 78, 78, 78, 75, 75, 75, 100, 100, 83, 83, 93, 93, 73, 73, 96, 96, 90, 90, 78, 78, 75, 75, 74, 74, 95, 95, 74, 74, 103, 103, 86, 86, 78, 78, 75, 75, 1292, 1292, 121, 1292, 1292, 1292, 1292, 1292, 123, 579, 294, 292, 292, 332, 289, 1292, 1292, 1292, 1292, 1292, 1292, 121, 902, 157, 1292, 1292, 1292, 1292, 1292, 1292, 124, 1288, 1292, 1292, 333, 131, 834, 1292, 1292, 1292, 1292, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 107, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 231, 427, 342, 231, 427, 342, 107, 342, 342, 348, 348, 348, 231, 427, 1266, 107, 1266]",98473,71,1440,371.59622641509435,0,73,0,237,"[232, 171, 911, 289, 975, 264, 308, 975, 264, 265, 441, 344, 344, 344, 265, 1262, 441, 1262, 265, 1262, 441, 1420, 441, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 98, 104, 136, 136, 136, 136, 93, 93, 93, 71, 71, 71, 71, 71, 71, 110, 71, 71, 71, 71, 71, 71, 109, 134, 134, 134, 134, 134, 134, 134, 134, 134, 1292, 1292, 1292, 1292, 901, 901, 901, 901, 901, 901, 901, 901, 901, 167, 100, 100, 83, 83, 87, 150, 714, 150, 216, 155, 1354, 294, 1354, 1354, 1354, 1354, 1354, 73, 73, 73, 96, 96, 96, 90, 90, 90, 78, 78, 78, 75, 75, 75, 74, 74, 74, 95, 95, 95, 74, 74, 74, 103, 103, 103, 86, 86, 86, 78, 78, 78, 75, 75, 75, 100, 100, 83, 83, 93, 93, 73, 73, 96, 96, 90, 90, 78, 78, 75, 75, 74, 74, 95, 95, 74, 74, 103, 103, 86, 86, 78, 78, 75, 75, 1292, 1292, 121, 1292, 1292, 1292, 1292, 1292, 123, 579, 294, 292, 292, 332, 289, 1292, 1292, 1292, 1292, 1292, 1292, 121, 902, 157, 1292, 1292, 1292, 1292, 1292, 1292, 124, 1288, 1292, 1292, 333, 131, 834, 1292, 1292, 1292, 1292, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 167, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 342, 342, 342, 342]",93695,71,1420,395.337552742616,237,0,0.0,"{'1': 65, '12': 8}",{},19,5483,29,1250,304.6111111111111,5,True,False
