DNS,Connect,TLS,TTFB,Time Pretransfer,Total,Redirect,Speed Download,Speed Upload,HTTP Code,Num Connects
1.9e-05,0.000327,0.394311,0.589611,0.394363,0.589721,0.0,274.0,0.0,429.0,1.0
2e-05,0.000367,0.384799,0.574145,0.384858,0.574251,0.0,282.0,0.0,429.0,1.0
2.4e-05,0.000334,0.580124,0.773717,0.580182,0.773906,0.0,209.0,0.0,429.0,1.0
2.1e-05,0.000326,0.38185,0.570298,0.381903,0.57042,0.0,284.0,0.0,429.0,1.0
2.3e-05,0.000322,0.390645,0.58425,0.390696,0.584358,0.0,277.0,0.0,429.0,1.0
1.7e-05,0.000325,0.381211,0.570351,0.381262,0.570468,0.0,283.0,0.0,429.0,1.0
2.1e-05,0.000325,0.390306,0.583397,0.390357,0.583506,0.0,277.0,0.0,429.0,1.0
2.1e-05,0.000312,0.380664,0.568772,0.380714,0.568882,0.0,284.0,0.0,429.0,1.0
1.7e-05,0.0003,0.389282,0.582065,0.38941,0.582175,0.0,278.0,0.0,429.0,1.0
2.1e-05,0.000327,0.390676,0.970358,0.390751,1.160908,0.0,43408.0,0.0,200.0,1.0
2.1e-05,0.000318,0.391831,0.585606,0.391959,0.585718,0.0,276.0,0.0,429.0,1.0
1.7e-05,0.000317,0.38048,0.568849,0.380532,0.568957,0.0,284.0,0.0,429.0,1.0
1.9e-05,0.00032,0.389474,0.581365,0.389603,0.581482,0.0,278.0,0.0,429.0,1.0
2e-05,0.000321,0.38266,0.571938,0.382712,0.572055,0.0,283.0,0.0,429.0,1.0
3e-05,0.000394,0.38482,1.035336,0.384874,1.221064,0.0,41269.0,0.0,200.0,1.0
2.3e-05,0.000353,0.392875,0.981401,0.392926,1.172913,0.0,42963.0,0.0,200.0,1.0
2e-05,0.000323,0.381638,0.570068,0.381686,0.570176,0.0,284.0,0.0,429.0,1.0
1.7e-05,0.00031,0.38956,0.581823,0.389611,0.581939,0.0,278.0,0.0,429.0,1.0
1.8e-05,0.000322,0.391735,0.59576,0.391787,0.595872,0.0,271.0,0.0,429.0,1.0
2.4e-05,0.00032,0.390559,0.988046,0.390611,1.178759,0.0,42750.0,0.0,200.0,1.0
1.8e-05,0.000318,0.390813,1.005166,0.390864,1.195937,0.0,42136.0,0.0,200.0,1.0
2.2e-05,0.00034,0.392242,1.123554,0.392354,1.31506,0.0,38319.0,0.0,200.0,1.0
2.2e-05,0.000361,0.382669,0.943933,0.382719,1.1303,0.0,44583.0,0.0,200.0,1.0
2e-05,0.000329,0.390285,0.991833,0.390435,1.182171,0.0,42627.0,0.0,200.0,1.0
2.1e-05,0.000524,0.577816,1.177179,0.577945,1.367165,0.0,36859.0,0.0,200.0,1.0
1.7e-05,0.00032,0.381668,0.570173,0.381719,0.570391,0.0,284.0,0.0,429.0,1.0
1.8e-05,0.000341,0.382199,0.570702,0.382255,0.570811,0.0,283.0,0.0,429.0,1.0
1.8e-05,0.000317,0.380436,0.570011,0.380488,0.57012,0.0,284.0,0.0,429.0,1.0
2.2e-05,0.000321,0.383873,0.573656,0.383924,0.573775,0.0,282.0,0.0,429.0,1.0
1.9e-05,0.000332,0.390452,0.583463,0.390503,0.583577,0.0,277.0,0.0,429.0,1.0
1.9e-05,0.000327,0.381505,0.570174,0.381557,0.570302,0.0,284.0,0.0,429.0,1.0
1.7e-05,0.000353,0.389672,0.582578,0.389723,0.582682,0.0,278.0,0.0,429.0,1.0
1.8e-05,0.000322,0.382442,0.571609,0.382492,0.57174,0.0,283.0,0.0,429.0,1.0
2.5e-05,0.000325,0.380018,0.567772,0.380069,0.567884,0.0,285.0,0.0,429.0,1.0
1.7e-05,0.000322,0.383904,0.573475,0.384032,0.573583,0.0,282.0,0.0,429.0,1.0
2e-05,0.000321,0.391318,0.584457,0.39137,0.584564,0.0,277.0,0.0,429.0,1.0
1.8e-05,0.000328,0.391342,0.584764,0.391392,0.58487,0.0,276.0,0.0,429.0,1.0
1.8e-05,0.000322,0.39143,0.967988,0.391482,1.158741,0.0,43489.0,0.0,200.0,1.0
2.2e-05,0.000325,0.382824,0.960153,0.382879,1.146485,0.0,43954.0,0.0,200.0,1.0
1.7e-05,0.000358,0.390329,0.583171,0.39038,0.583277,0.0,277.0,0.0,429.0,1.0
