website,id,date,layer_counts,all_packet_count,all_packet_sizes,all_packet_total_size,all_packet_min_size,all_packet_max_size,all_packet_average_size,tcp_packet_count,tcp_packet_sizes,tcp_packet_total_size,tcp_packet_min_size,tcp_packet_max_size,tcp_packet_average_size,udp_count,udp_packet_count,udp_packet_sizes,udp_packet_total_size,udp_packet_min_size,udp_packet_max_size,udp_packet_average_size,ip_packet_count,ip_packet_sizes,ip_packet_total_size,ip_packet_min_size,ip_packet_max_size,ip_packet_average_size,dns_count,dns_query_types,dns_response_codes,dns_incomplete_transactions,data_count,data_total_payload_size,data_min_payload_size,data_max_payload_size,data_avg_payload_size,param_frag_size,param_tcp_frag,param_record_frag
https://mykmu.net/,150ef771-10ce-4e1c-9d08-2cb1dc407898,2025-04-15 15:24:28,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,5,True,False
https://mykmu.net/,f967d027-9040-40bd-b8c5-de239e1c2b82,2025-04-15 15:24:42,"{'eth': 374, 'ip': 374, 'tcp': 374, 'tls': 187, 'DATA': 84}",374,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 300, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 137, 66, 91, 72, 66, 66, 1354, 78, 712, 169, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 66, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 656, 66, 90, 66, 66, 66, 66]",258857,66,1354,692.1310160427807,374,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 300, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 137, 66, 91, 72, 66, 66, 1354, 78, 712, 169, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 66, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 656, 66, 90, 66, 66, 66, 66]",258857,66,1354,692.1310160427807,374,1,1,0,0.267379679144385,4.3e-05,0.088391,0.01577263963963964,0,0,[],0,0,0,0,374,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 300, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 137, 66, 91, 72, 66, 66, 1354, 78, 712, 169, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 66, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 656, 66, 90, 66, 66, 66, 66]",258857,66,1354,692.1310160427807,374,0,0.0,0,{},{},0,84,0,0,0,0,5,True,False
https://mykmu.net/,df4f2185-97d0-4adf-906b-b7bfe2c9764c,2025-04-15 15:24:56,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,5,True,False
https://mykmu.net/,0f43199a-c60e-4b39-97bf-0b2047ea6a71,2025-04-15 15:27:36,{},0,[],0,0,0,0,0,[],0,0,0,0,0,0,[],0,0,0,0,0,[],0,0,0,0,0,{},{},0,0,0,0,0,0,5,True,False
https://mykmu.net/,d3829754-75fb-45c4-a5a7-0f323804327d,2025-04-15 15:27:51,"{'eth': 411, 'ip': 411, 'tcp': 411, 'tls': 125, 'DATA': 51}",411,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 301, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 128, 66, 66, 97, 66, 91, 72, 66, 716, 1354, 169, 1354, 169, 1354, 169, 169, 1354, 1354, 1354, 1354, 1354, 453, 272, 1354, 1354, 1354, 1354, 1354, 453, 272, 1354, 1354, 1354, 1354, 1354, 1354, 272, 1354, 213, 1354, 1354, 169, 1354, 1354, 66, 1354, 1354, 1354, 1354, 840, 1354, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 1354, 272, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 169, 1354, 1354, 1227, 1354, 1354, 272, 1354, 169, 1354, 748, 1354, 169, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 169, 243, 1354, 169, 1354, 1354, 78, 1354, 1354, 453, 78, 78, 78, 1354, 1354, 1354, 1354, 1354, 1354, 78, 1354, 169, 1354, 78, 78, 78, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 964, 1354, 78, 1354, 1354, 453, 1354, 1354, 1354, 1354, 169, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 169, 1354, 1354, 78, 78, 78, 78, 78, 78, 424, 1354, 169, 78, 78, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 424, 272, 1354, 1354, 66, 78, 78, 66, 66, 1354, 273, 1354, 1354, 1354, 1354, 272, 1354, 1354, 66, 78, 66, 66, 78, 272, 1354, 169, 78, 1354, 1354, 1354, 968, 272, 1354, 1354, 72, 169, 1354, 1354, 272, 1354, 169, 1354, 748, 1354, 266, 1354, 169, 1354, 72, 66, 66, 66, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 1354, 78, 297, 346, 1354, 78, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 1354, 272, 1354, 160, 1354, 1354, 282, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 1354, 1354, 1354, 298, 1354, 78, 78, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 1354, 1354, 1354, 562, 1354, 1354, 272, 1354, 238, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 962, 1354, 1354, 1035, 1354, 1354, 1354, 453, 1354, 1354, 1354, 1354, 1354, 1094, 1354, 1354, 1354, 453, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 186, 97, 66, 90, 66, 66, 66, 66]",306227,66,1354,745.0778588807785,411,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 301, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 128, 66, 66, 97, 66, 91, 72, 66, 716, 1354, 169, 1354, 169, 1354, 169, 169, 1354, 1354, 1354, 1354, 1354, 453, 272, 1354, 1354, 1354, 1354, 1354, 453, 272, 1354, 1354, 1354, 1354, 1354, 1354, 272, 1354, 213, 1354, 1354, 169, 1354, 1354, 66, 1354, 1354, 1354, 1354, 840, 1354, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 1354, 272, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 169, 1354, 1354, 1227, 1354, 1354, 272, 1354, 169, 1354, 748, 1354, 169, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 169, 243, 1354, 169, 1354, 1354, 78, 1354, 1354, 453, 78, 78, 78, 1354, 1354, 1354, 1354, 1354, 1354, 78, 1354, 169, 1354, 78, 78, 78, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 964, 1354, 78, 1354, 1354, 453, 1354, 1354, 1354, 1354, 169, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 169, 1354, 1354, 78, 78, 78, 78, 78, 78, 424, 1354, 169, 78, 78, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 424, 272, 1354, 1354, 66, 78, 78, 66, 66, 1354, 273, 1354, 1354, 1354, 1354, 272, 1354, 1354, 66, 78, 66, 66, 78, 272, 1354, 169, 78, 1354, 1354, 1354, 968, 272, 1354, 1354, 72, 169, 1354, 1354, 272, 1354, 169, 1354, 748, 1354, 266, 1354, 169, 1354, 72, 66, 66, 66, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 1354, 78, 297, 346, 1354, 78, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 1354, 272, 1354, 160, 1354, 1354, 282, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 1354, 1354, 1354, 298, 1354, 78, 78, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 1354, 1354, 1354, 562, 1354, 1354, 272, 1354, 238, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 962, 1354, 1354, 1035, 1354, 1354, 1354, 453, 1354, 1354, 1354, 1354, 1354, 1094, 1354, 1354, 1354, 453, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 186, 97, 66, 90, 66, 66, 66, 66]",306227,66,1354,745.0778588807785,411,63,29,5,15.328467153284672,2.9e-05,0.006197,0.0021585873015873016,0,0,[],0,0,0,0,411,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 301, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 128, 66, 66, 97, 66, 91, 72, 66, 716, 1354, 169, 1354, 169, 1354, 169, 169, 1354, 1354, 1354, 1354, 1354, 453, 272, 1354, 1354, 1354, 1354, 1354, 453, 272, 1354, 1354, 1354, 1354, 1354, 1354, 272, 1354, 213, 1354, 1354, 169, 1354, 1354, 66, 1354, 1354, 1354, 1354, 840, 1354, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 78, 1354, 272, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 169, 1354, 1354, 1227, 1354, 1354, 272, 1354, 169, 1354, 748, 1354, 169, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 169, 243, 1354, 169, 1354, 1354, 78, 1354, 1354, 453, 78, 78, 78, 1354, 1354, 1354, 1354, 1354, 1354, 78, 1354, 169, 1354, 78, 78, 78, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 964, 1354, 78, 1354, 1354, 453, 1354, 1354, 1354, 1354, 169, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 169, 1354, 1354, 78, 78, 78, 78, 78, 78, 424, 1354, 169, 78, 78, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 424, 272, 1354, 1354, 66, 78, 78, 66, 66, 1354, 273, 1354, 1354, 1354, 1354, 272, 1354, 1354, 66, 78, 66, 66, 78, 272, 1354, 169, 78, 1354, 1354, 1354, 968, 272, 1354, 1354, 72, 169, 1354, 1354, 272, 1354, 169, 1354, 748, 1354, 266, 1354, 169, 1354, 72, 66, 66, 66, 1354, 169, 1354, 1354, 272, 1354, 169, 1354, 1354, 78, 297, 346, 1354, 78, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 1354, 272, 1354, 160, 1354, 1354, 282, 1354, 169, 1354, 169, 1354, 169, 1354, 169, 1354, 1354, 1354, 1354, 298, 1354, 78, 78, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 66, 1354, 1354, 1354, 562, 1354, 1354, 272, 1354, 238, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 1354, 66, 1354, 1354, 1354, 66, 1354, 1354, 1354, 1354, 1354, 962, 1354, 1354, 1035, 1354, 1354, 1354, 453, 1354, 1354, 1354, 1354, 1354, 1094, 1354, 1354, 1354, 453, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 186, 97, 66, 90, 66, 66, 66, 66]",306227,66,1354,745.0778588807785,411,0,0.0,0,{},{},0,51,0,0,0,0,5,True,False
https://mykmu.net/,281d4d34-9215-4ba2-ae52-dd3d86060923,2025-04-15 15:28:05,"{'eth': 350, 'ip': 350, 'tcp': 350, 'tls': 192, 'DATA': 85}",350,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 301, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 66, 137, 66, 91, 72, 66, 710, 1354, 169, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 773, 66, 66, 1354, 169, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1165, 66, 90, 66, 66, 66, 66]",257291,66,1354,735.1171428571429,350,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 301, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 66, 137, 66, 91, 72, 66, 710, 1354, 169, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 773, 66, 66, 1354, 169, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1165, 66, 90, 66, 66, 66, 66]",257291,66,1354,735.1171428571429,350,1,0,0,0.2857142857142857,3.2e-05,0.080125,0.015422157407407409,0,0,[],0,0,0,0,350,"[78, 74, 66, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 85, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 1354, 1354, 301, 66, 91, 91, 80, 91, 91, 91, 91, 91, 85, 66, 66, 137, 66, 91, 72, 66, 710, 1354, 169, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 66, 66, 66, 1354, 1354, 1354, 66, 66, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 1354, 773, 66, 66, 1354, 169, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1354, 66, 1354, 1165, 66, 90, 66, 66, 66, 66]",257291,66,1354,735.1171428571429,350,0,0.0,0,{},{},0,85,0,0,0,0,5,True,False
